tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,37939,8287,7729159,140963,2017-08-01 16:23:56
892177421306343426,32573,6119,7729159,140963,2017-08-01 00:17:27
891815181378084864,24529,4054,7729159,140963,2017-07-31 00:18:03
891689557279858688,41282,8424,7729159,140963,2017-07-30 15:58:51
891327558926688256,39470,9129,7729159,140963,2017-07-29 16:00:24
891087950875897856,19833,3038,7729159,140963,2017-07-29 00:08:17
890971913173991426,11598,2010,7729159,140963,2017-07-28 16:27:12
890729181411237888,64012,18383,7729159,140963,2017-07-28 00:22:40
890609185150312448,27240,4175,7729159,140963,2017-07-27 16:25:51
890240255349198849,31264,7190,7729159,140963,2017-07-26 15:59:51
890006608113172480,30026,7143,7729159,140963,2017-07-26 00:31:25
889880896479866881,27241,4849,7729159,140963,2017-07-25 16:11:53
889665388333682689,47128,9784,7729159,140963,2017-07-25 01:55:32
889638837579907072,26593,4410,7729159,140963,2017-07-25 00:10:02
889531135344209921,14808,2191,7729160,140963,2017-07-24 17:02:04
889278841981685760,24728,5231,7729160,140963,2017-07-24 00:19:32
888917238123831296,28524,4390,7729160,140963,2017-07-23 00:22:39
888804989199671297,25047,4178,7729160,140963,2017-07-22 16:56:37
888554962724278272,19411,3453,7729160,140963,2017-07-22 00:23:06
888078434458587136,21305,3405,7729160,140963,2017-07-20 16:49:33
887705289381826560,29560,5256,7729160,140963,2017-07-19 16:06:48
887517139158093824,45319,11393,7729161,140963,2017-07-19 03:39:09
887473957103951883,67579,17716,7729161,140963,2017-07-19 00:47:34
887343217045368832,32988,10157,7729161,140963,2017-07-18 16:08:03
887101392804085760,29954,5812,7729161,140963,2017-07-18 00:07:08
886983233522544640,34413,7578,7729161,140963,2017-07-17 16:17:36
886736880519319552,11812,3197,7729161,140963,2017-07-16 23:58:41
886680336477933568,21971,4354,7729161,140963,2017-07-16 20:14:00
886366144734445568,20760,3122,7729161,140963,2017-07-15 23:25:31
886267009285017600,116,4,7729161,140963,2017-07-15 16:51:35
886258384151887873,27421,6132,7729161,140963,2017-07-15 16:17:19
886054160059072513,0,104,7729161,140963,2017-07-15 02:45:48
885984800019947520,31976,6600,7729161,140963,2017-07-14 22:10:11
885528943205470208,35234,6267,7729161,140963,2017-07-13 15:58:47
885518971528720385,20016,3663,7729160,140963,2017-07-13 15:19:09
885311592912609280,0,18094,7729160,140963,2017-07-13 01:35:06
885167619883638784,21470,4276,7729160,140963,2017-07-12 16:03:00
